x,y,time
0,0,0
1.44413538262732,0.408321836155352,6.94e-06
2.07261001121396,0.706796260216237,1.39e-05
2.30591426051729,0.780027930962482,2.2e-05
3.00130543790298,1.43023609479053,3.59e-05
4.14341088195813,1.94507698305392,4.4e-05
5.61557840092063,2.40776843825557,5.21e-05
7.36535959128046,2.99251305208701,5.9e-05
9.57632301333877,3.80250118627838,6.71e-05
11.6299414997102,4.50819009631661,7.41e-05
13.6817512314698,5.12733302638845,8.22e-05
14.7994405838954,5.31041385557666,8.91e-05
15.0707243854618,5.36367366722768,9.72e-05
15.3600938353648,5.3825368517481,0.000104
15.77515795195,5.51457639898089,0.000126
15.8954272431958,5.45798854939767,0.000134
15.654888907259,5.43246801286293,0.000252
15.647654753944,5.38475649405384,0.000259
15.6205263613611,5.38697558640374,0.000266
15.7136676361449,5.12067897597687,0.000273
16.352091016224,4.06880787084173,0.000284
18.0955486200715,1.02415147743793,0.000299
19.4185157021518,-1.40802291503764,0.000307
20.8807432760208,-4.07764472864758,0.000315
23.581842746348,-9.08623637379774,0.00033
25.0494988963305,-11.885677128422,0.000337
29.7291850299181,-20.8066043409687,0.000359
31.6951076450866,-24.4104803997522,0.000367
37.0304140258457,-33.6542860426043,0.000389
57.2974757734373,-73.471090395724,0.000632
57.3417859190456,-73.4788570978677,0.000639
57.3463080402286,-73.5842661962427,0.000647
57.3426912554212,-73.6408542779563,0.000654
57.2974770431213,-73.6674842443594,0.000661
57.3164668762341,-73.6353065990301,0.000668
57.3426913200812,-73.650840405112,0.000676
57.3870015470183,-73.6708123751424,0.000683
57.4367375204633,-73.6941130183082,0.000697
57.559723983636,-74.2078430208636,0.000705
57.8916055017583,-75.4194910396914,0.000712
58.5173873103396,-77.6308594608687,0.000719
59.1811533699551,-80.4158751399997,0.000727
59.7897530739531,-82.4352880021065,0.000734
60.7293170843457,-83.6269595252487,0.000741
62.719663301524,-84.5822852176761,0.000749
65.4451930352628,-85.0238742726258,0.000757
68.1571559861362,-85.1115098442476,0.000764
81.9055417404342,-39.4259672147867,0.00114
73.4775952769108,-37.2923383141406,0.00115
65.6609460344415,-34.7991962623043,0.00116
57.4545526085352,-31.9354535184347,0.00117
48.5618070648178,-27.8833576517184,0.00118
41.7245018271309,-23.3630049289022,0.00119
36.206547589242,-17.9705197013258,0.0012
28.4640565608912,-9.12061870624283,0.00122
24.7745741636231,-3.58942395292248,0.00124
22.0074579658891,3.54843182855227,0.00126
21.7723429001656,4.49045608750495,0.00127
3.65418409597524,29.3925077082386,0.00443
4.7022411066774,29.8529797258191,0.00444
7.29118536331465,31.2920936864811,0.00445
12.0784244646733,33.6987561198287,0.00446
22.341052793652,37.0452390013759,0.00449
25.2962362352485,34.1858851918554,0.0045
28.6031898727348,29.9195988249627,0.00451
32.2356907229343,24.5237727098108,0.00452
36.4822066007049,17.746536086348,0.00453
39.0756951940528,13.6122896428433,0.00454
40.2603071410358,12.1310191167061,0.00455
39.3524214696935,9.79093210939523,0.00456
35.4812157735319,6.42226155048266,0.00457
15.260567128621,37.8785110155541,0.00477
15.7506803761665,40.4205366337156,0.00478
14.9494832978298,45.4546541479523,0.00479
13.5840187492688,50.9858582372742,0.0048
11.7447148856427,57.442443306521,0.00481
10.4687767316694,63.4418866307012,0.00482
10.7771304702977,66.4000006085329,0.00483
6.30097637184419,67.4285676839162,0.00485
0.620331599598859,65.7963879996648,0.00486
-14.2757736247818,60.6002831992474,0.00488
-22.4657901766098,57.8618814501928,0.00489
-27.5414866107341,56.2818681128941,0.0049
-30.073456280451,55.9168278180994,0.00491
-11.3143330639389,16.1131813146064,0.00501
-9.1431606893828,15.7303771890512,0.00502
-5.75121168556661,15.8269069220701,0.00503
-1.77871580542193,16.5037428818942,0.00504
1.54089038896079,17.4901504923238,0.00505
5.98813042632611,19.1467402674153,0.00506
11.1434185579338,20.77559389263,0.00508
11.8795010972722,20.6291316187441,0.00509
12.1281776362532,20.5792013100774,0.0051
12.5269639068003,20.8366220854139,0.00511
13.2142146009071,21.2582596530914,0.00512
13.1255953663138,21.2504925328865,0.00513
14.3156234177829,22.3744887074835,0.00515
16.3683313902184,23.9223423067557,0.00516
19.3759551226028,25.767563161863,0.00517
28.4720755269378,28.1021228483514,0.00519
33.4428885986012,27.9234994500749,0.0052
39.1127141143775,26.4189458267644,0.00521
43.7833242446978,22.9948348685114,0.00522
46.4554918701604,17.9152373711632,0.00523
46.7376636919976,10.9027570172545,0.00524
44.9508408250009,4.47944762596369,0.00525
41.8998279257343,-1.20933214663565,0.00526
38.1136252394114,-5.61656080263235,0.00527
33.8535680848846,-8.09868590806961,0.00528
30.0275559649736,-8.34169549786684,0.00529
26.0532375066713,-7.21216593839029,0.0053
21.6240630585695,-4.54144315517408,0.00531
19.9167785511044,-3.36197437272434,0.00532
19.9511409814358,-3.25989386731586,0.00534
19.8869366969691,-3.09567766801841,0.00535
19.24037392058,-2.07265566308336,0.00536
17.4553186239241,0.873248689445533,0.00537
15.7625015991391,3.51180271731165,0.00538
13.3887605078354,7.85132667809956,0.00539
11.0376282571137,12.5581189718917,0.0054
10.6243683335954,16.2840542276211,0.00541
12.2068503068269,20.2330156025345,0.00542
13.8444946843808,22.3412008614819,0.00543
14.1618939695178,23.7547934470105,0.00544
21.1130669050002,28.0333089291052,0.00547
28.2722238520337,30.104895942971,0.00548
34.6519002922528,29.739870077125,0.00549
40.2331115120004,26.9493252684768,0.0055
44.7879847355862,21.4480994133507,0.00551
46.5558754099016,16.2697457136428,0.00552
45.5955667729847,9.4358996558195,0.00553
